"country_or_area","labour_force_participation_rate_female_percent","labour_force_participation_rate_male_percent","percent_ever_married_female_aged_15_19","percent_ever_married_male_aged_15_19","mean_age_at_marriage_female","mean_age_at_marriage_male","contraceptive_prevalence_rate_any_method_percent","womens_share_of_tertiary_enrolment_percent","womens_share_of_labour_force_percent","adult_literacy_rate_male_percent","adult_literacy_rate_female_percent","abortion_rate_per_1000_women","total_fertility_rate_per_woman"
"Czechoslovakia (former)",NA,NA,"7.6","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark","59.7","74.4","0.7","0.1","30.7","32.9",NA,"56","45.7",NA,NA,"14.3","1.5"
"Djibouti","56.5","83.3",NA,NA,NA,NA,"9","47","41",NA,NA,NA,"6.4"
"Dominica",NA,NA,"0.2","0.2",NA,NA,NA,"…",NA,NA,NA,NA,NA
"Dominican Republic","32.6","85","21.9","4.3","21.3","25.6","56.4","61","27.3","86.8","87.2","16","3.5"
"Ecuador","27.3","85.5","17.5","4.4","21.5","24.6","56.8",NA,"24.2","90.5","86.2",NA,"4"
"Egypt","22.8","76.9","14.3",NA,"22.3","27.9","47.6",NA,"23","57","31.4",NA,"4.8"
"El Salvador","45.9","82.6","15.9","4.5","22.3","25.3","53.3","55","37.6","77.4","71.3",NA,"3.9"
"Equatorial Guinea","46.5","90.1",NA,NA,NA,NA,NA,NA,"35","93.4","80.5",NA,"5.9"
"Eritrea","61.8","93.2",NA,NA,"19.6","25.3","8","14","42",NA,NA,NA,"6.3"
"Estonia","65.1","78.3",NA,NA,"22.1","24.5","70.3","58","50.3","99.9","99.6","33.3","2.2"
"Ethiopia","72","91.8","30.8","6","20.5","25.8","4.8","19","44.7","36","18.5",NA,"6.8"
"Faroe Islands",NA,NA,"0.9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Federated States of Micronesia",NA,NA,"10.2","4.2",NA,NA,NA,NA,NA,NA,NA,NA,"5.2"
"Fiji","52.6","81.5","13.3","2.4","22.9","26.1",NA,"53","39",NA,NA,NA,"3.5"
